Subject,Topic,Subtopic,Question Text,Option A,Option B,Option C,Option D,Correct Answer,Explanation,Difficulty,Exam Year,Source/Exam,Is Public
Polity,Constitutional Law,Writs,"With reference to the writs issued by the Courts in India, consider the following statements:

1. Mandamus will not lie against a private organization unless it is entrusted with a public duty.
2. Mandamus will not lie against a Company even though it may be a Government Company.
3. Any public minded person can be a petitioner to move the Court to obtain the writ of Quo Warranto.

Which of the statements given above are correct?",1 and 2 only,2 and 3 only,1 and 3 only,"1, 2 and 3",C,"Statement 1 is correct: Mandamus will not lie against a private organization unless it is entrusted with a public duty. Statement 2 is incorrect: Mandamus can lie against a Government Company as it performs public functions. Statement 3 is correct: Any public minded person can file for Quo Warranto to challenge illegal appointment to public office.",medium,2024,UPSC,Yes
Reasoning,Logical Reasoning,Series,"In the series: 2, 6, 12, 20, 30, ?

What comes next?",42,40,36,48,A,"The pattern is: 2=1×2, 6=2×3, 12=3×4, 20=4×5, 30=5×6. Next would be 6×7=42",easy,2024,SSC,Yes
Quantitative Aptitude,Arithmetic,Percentage,"A man spends 75% of his income. If his income increases by 20% and his expenditure increases by 10%, then his savings increase by:",25%,50%,37.5%,66.67%,B,"Let income = 100, expenditure = 75, savings = 25. New income = 120, new expenditure = 82.5, new savings = 37.5. Increase in savings = (37.5-25)/25 × 100 = 50%",hard,2023,Banking,Yes
Current Affairs,Economy,Budget,"With reference to the Union Budget 2024-25, consider the following statements:

1. The fiscal deficit target has been set at 4.5% of GDP.
2. A new scheme for skilling in emerging technologies was announced.
3. The capital expenditure allocation has been reduced from the previous year.

Which of the statements given above is/are correct?",1 only,2 only,1 and 2 only,All of the above,B,"Statement 1: The fiscal deficit target was set at 5.1% of GDP for 2024-25. Statement 2: Correct - New skilling schemes were announced. Statement 3: Capital expenditure was actually increased, not reduced.",medium,2024,TNPSC,Yes
English,Grammar,Sentence Correction,"Choose the grammatically correct sentence:",Neither of the students have completed their assignment.,Neither of the students has completed their assignment.,Neither of the students have completed his assignment.,Neither of the students has completed his assignment.,B,"'Neither' is singular and takes singular verb 'has'. Since we don't know the gender, 'their' is acceptable as plural pronoun referring back to 'students'.",medium,2024,SSC,Yes
General Science,Biology,Human Body,"Consider the following statements about the human digestive system:

1. Pepsin is secreted by the pancreas.
2. Bile is produced by the liver and stored in the gall bladder.
3. The large intestine absorbs most of the water from food.

Which of the statements given above is/are correct?",1 and 2 only,2 and 3 only,1 and 3 only,All of the above,B,"Statement 1 is incorrect: Pepsin is secreted by the stomach, not pancreas. Statement 2 is correct: Bile is produced by liver and stored in gall bladder. Statement 3 is correct: Large intestine absorbs most water from food residue.",medium,2024,UPSC,Yes
Geography,Physical Geography,Climate,"With reference to the monsoon system in India, which of the following statements is/are correct?

1. The Southwest monsoon contributes about 75% of India's annual rainfall.
2. The Northeast monsoon primarily affects the western coast of India.
3. The retreating monsoon brings rainfall to Tamil Nadu and coastal Andhra Pradesh.

Select the correct answer using the code given below:",1 and 3 only,2 and 3 only,1 only,All of the above,A,"Statement 1 is correct: Southwest monsoon contributes about 75% of annual rainfall. Statement 2 is incorrect: Northeast monsoon affects the southeastern coast, not western coast. Statement 3 is correct: Retreating monsoon brings rainfall to Tamil Nadu and coastal Andhra Pradesh.",medium,2024,UPSC,Yes
History,Modern India,Freedom Movement,"Consider the following events during India's freedom struggle:

1. Champaran Satyagraha
2. Khilafat Movement  
3. Non-Cooperation Movement
4. Salt Satyagraha

What is the correct chronological sequence of these events?","1, 2, 3, 4","2, 1, 3, 4","1, 3, 2, 4","2, 3, 1, 4",A,"Champaran Satyagraha (1917), Khilafat Movement (1919), Non-Cooperation Movement (1920), Salt Satyagraha (1930).",medium,2023,TNPSC,Yes
Reasoning,Data Interpretation,Tables,"Study the following table showing the production of different crops (in million tonnes) in a state over 5 years:

Year    Rice    Wheat   Sugarcane
2019    12.5    8.2     45.6
2020    13.1    8.8     48.2
2021    11.8    7.9     43.1
2022    14.2    9.5     52.3
2023    13.6    9.1     49.8

In which year was the total production of all three crops maximum?",2021,2022,2023,2020,B,"2019: 66.3, 2020: 70.1, 2021: 62.8, 2022: 76.0, 2023: 72.5. Maximum in 2022 with 76.0 million tonnes.",medium,2024,SSC,Yes
Mathematics,Algebra,Equations,"If x + y = 10 and x² + y² = 58, then the value of xy is:",21,42,84,168,A,"Given: x + y = 10 and x² + y² = 58. We know (x + y)² = x² + y² + 2xy. So 100 = 58 + 2xy. Therefore 2xy = 42, hence xy = 21.",medium,2024,Banking,Yes
